item_category,item_id,total_purchase_count,core_user_purchase_count,non_core_user_purchase_count,core_user_purchase_rate,core_user_purchase_rate_percent
8,4799763,1,1,0,1.0,100.0%
8,120774719,1,0,1,0.0,0.0%
8,127127987,1,0,1,0.0,0.0%
8,288281384,1,0,1,0.0,0.0%
10,157515466,1,1,0,1.0,100.0%
10,160208173,1,1,0,1.0,100.0%
10,352669188,1,1,0,1.0,100.0%
10,147943776,1,0,1,0.0,0.0%
11,220319466,1,1,0,1.0,100.0%
11,249084396,1,0,1,0.0,0.0%
11,276746421,1,0,1,0.0,0.0%
11,341879209,1,0,1,0.0,0.0%
11,343331098,1,0,1,0.0,0.0%
12,218416313,2,2,0,1.0,100.0%
12,192993392,1,1,0,1.0,100.0%
12,377977850,1,0,1,0.0,0.0%
12,396296200,1,0,1,0.0,0.0%
13,313297546,6,6,0,1.0,100.0%
15,178291403,1,1,0,1.0,100.0%
15,154243911,1,0,1,0.0,0.0%
15,282972546,1,0,1,0.0,0.0%
15,372693072,1,0,1,0.0,0.0%
16,301530370,2,2,0,1.0,100.0%
16,26890682,1,1,0,1.0,100.0%
16,85528404,1,1,0,1.0,100.0%
16,123077878,1,1,0,1.0,100.0%
16,176625398,1,1,0,1.0,100.0%
16,192676622,1,1,0,1.0,100.0%
16,229513137,1,1,0,1.0,100.0%
16,247386332,1,1,0,1.0,100.0%
16,299916481,1,1,0,1.0,100.0%
16,311512033,1,1,0,1.0,100.0%
16,321655911,1,1,0,1.0,100.0%
16,367541794,1,1,0,1.0,100.0%
16,391582437,1,1,0,1.0,100.0%
16,50365683,1,0,1,0.0,0.0%
16,262498416,1,0,1,0.0,0.0%
16,282826644,1,0,1,0.0,0.0%
16,313683198,1,0,1,0.0,0.0%
18,99205053,1,1,0,1.0,100.0%
21,342413184,1,1,0,1.0,100.0%
21,382881615,1,1,0,1.0,100.0%
24,250847704,1,1,0,1.0,100.0%
24,392233813,5,0,5,0.0,0.0%
24,129881711,1,0,1,0.0,0.0%
24,320238665,1,0,1,0.0,0.0%
