item_category,category_purchase_count,category_item_count,top1_item_id,top1_purchase_count,top1_purchase_share,top5_purchase_count,top5_purchase_share,category_hhi,normalized_category_hhi,category_concentration_type
3393,10,1,150024249,10,1.0000,10,1.0000,1,1,高集中品类
3457,9,1,44469739,9,1.0000,9,1.0000,1,1,高集中品类
1040,7,1,200463409,7,1.0000,7,1.0000,1,1,高集中品类
13,6,1,313297546,6,1.0000,6,1.0000,1,1,高集中品类
2097,5,1,325175700,5,1.0000,5,1.0000,1,1,高集中品类
13747,5,1,189507100,5,1.0000,5,1.0000,1,1,高集中品类
11112,4,1,285941791,4,1.0000,4,1.0000,1,1,高集中品类
13360,4,1,106325874,4,1.0000,4,1.0000,1,1,高集中品类
6488,4,1,153902974,4,1.0000,4,1.0000,1,1,高集中品类
7854,4,1,14318553,4,1.0000,4,1.0000,1,1,高集中品类
1186,4,1,211131022,4,1.0000,4,1.0000,1,1,高集中品类
2424,4,1,338159603,4,1.0000,4,1.0000,1,1,高集中品类
4433,4,1,93705991,4,1.0000,4,1.0000,1,1,高集中品类
560,3,1,21026713,3,1.0000,3,1.0000,1,1,高集中品类
1065,3,1,354591438,3,1.0000,3,1.0000,1,1,高集中品类
2496,3,1,235685083,3,1.0000,3,1.0000,1,1,高集中品类
3738,3,1,330622831,3,1.0000,3,1.0000,1,1,高集中品类
3842,3,1,244111881,3,1.0000,3,1.0000,1,1,高集中品类
4417,3,1,309121493,3,1.0000,3,1.0000,1,1,高集中品类
10551,3,1,354892228,3,1.0000,3,1.0000,1,1,高集中品类
12105,3,1,154423843,3,1.0000,3,1.0000,1,1,高集中品类
12580,3,1,92031558,3,1.0000,3,1.0000,1,1,高集中品类
14015,3,1,21472771,3,1.0000,3,1.0000,1,1,高集中品类
5856,3,1,201705615,3,1.0000,3,1.0000,1,1,高集中品类
5943,3,1,150101994,3,1.0000,3,1.0000,1,1,高集中品类
6037,3,1,202857743,3,1.0000,3,1.0000,1,1,高集中品类
7575,3,1,74346548,3,1.0000,3,1.0000,1,1,高集中品类
9651,3,1,395304949,3,1.0000,3,1.0000,1,1,高集中品类
5412,2,1,229031815,2,1.0000,2,1.0000,1,1,高集中品类
5458,2,1,363574418,2,1.0000,2,1.0000,1,1,高集中品类
5710,2,1,247194214,2,1.0000,2,1.0000,1,1,高集中品类
5732,2,1,285347718,2,1.0000,2,1.0000,1,1,高集中品类
5909,2,1,41708186,2,1.0000,2,1.0000,1,1,高集中品类
6098,2,1,14160802,2,1.0000,2,1.0000,1,1,高集中品类
6123,2,1,143446361,2,1.0000,2,1.0000,1,1,高集中品类
6135,2,1,206918532,2,1.0000,2,1.0000,1,1,高集中品类
6409,2,1,66962556,2,1.0000,2,1.0000,1,1,高集中品类
6688,2,1,66625339,2,1.0000,2,1.0000,1,1,高集中品类
7456,2,1,343638096,2,1.0000,2,1.0000,1,1,高集中品类
7511,2,1,80450532,2,1.0000,2,1.0000,1,1,高集中品类
7722,2,1,12186836,2,1.0000,2,1.0000,1,1,高集中品类
7800,2,1,212328995,2,1.0000,2,1.0000,1,1,高集中品类
7881,2,1,312845577,2,1.0000,2,1.0000,1,1,高集中品类
8011,2,1,75889272,2,1.0000,2,1.0000,1,1,高集中品类
8047,2,1,397619873,2,1.0000,2,1.0000,1,1,高集中品类
8165,2,1,261471963,2,1.0000,2,1.0000,1,1,高集中品类
8392,2,1,247443546,2,1.0000,2,1.0000,1,1,高集中品类
8418,2,1,165219045,2,1.0000,2,1.0000,1,1,高集中品类
8608,2,1,48530385,2,1.0000,2,1.0000,1,1,高集中品类
8683,2,1,119358434,2,1.0000,2,1.0000,1,1,高集中品类
8711,2,1,26100546,2,1.0000,2,1.0000,1,1,高集中品类
