user_id,total_purchase_count,distinct_purchase_item_count,purchase_concentration,purchase_concentration_type
72062153,12,2,6.0000,少量多次型用户
35644209,6,1,6.0000,少量多次型用户
97154652,10,2,5.0000,少量多次型用户
89118490,18,4,4.5000,少量多次型用户
99503510,38,9,4.2222,少量多次型用户
8119848,37,9,4.1111,少量多次型用户
110137127,8,2,4.0000,少量多次型用户
115634728,4,1,4.0000,少量多次型用户
35354529,4,1,4.0000,少量多次型用户
63427182,58,16,3.6250,少量多次型用户
16895773,7,2,3.5000,少量多次型用户
58040963,7,2,3.5000,少量多次型用户
79384326,7,2,3.5000,少量多次型用户
807106,57,18,3.1667,少量多次型用户
30511762,12,4,3.0000,少量多次型用户
116369265,6,2,3.0000,少量多次型用户
103653287,3,1,3.0000,少量多次型用户
114722645,3,1,3.0000,少量多次型用户
9686681,3,1,3.0000,少量多次型用户
31779961,3,1,3.0000,少量多次型用户
56790163,3,1,3.0000,少量多次型用户
122129618,17,6,2.8333,少量多次型用户
58805712,14,5,2.8000,少量多次型用户
105288851,58,21,2.7619,少量多次型用户
25187340,11,4,2.7500,少量多次型用户
27608145,11,4,2.7500,少量多次型用户
103498808,30,11,2.7273,少量多次型用户
52368085,8,3,2.6667,少量多次型用户
11966763,37,14,2.6429,少量多次型用户
47328088,42,16,2.6250,少量多次型用户
82448685,49,19,2.5789,少量多次型用户
98980048,33,13,2.5385,少量多次型用户
47296218,20,8,2.5000,少量多次型用户
31210346,10,4,2.5000,少量多次型用户
128268006,10,4,2.5000,少量多次型用户
122740147,17,7,2.4286,少量多次型用户
10480818,17,7,2.4286,少量多次型用户
86287331,12,5,2.4000,少量多次型用户
103585097,12,5,2.4000,少量多次型用户
107413843,12,5,2.4000,少量多次型用户
108704609,12,5,2.4000,少量多次型用户
33356728,19,8,2.3750,少量多次型用户
56199602,19,8,2.3750,少量多次型用户
142095821,19,8,2.3750,少量多次型用户
64318871,49,21,2.3333,少量多次型用户
96497399,21,9,2.3333,少量多次型用户
97874651,14,6,2.3333,少量多次型用户
7956207,7,3,2.3333,少量多次型用户
19478600,7,3,2.3333,少量多次型用户
21217939,7,3,2.3333,少量多次型用户
30833242,7,3,2.3333,少量多次型用户
46011980,7,3,2.3333,少量多次型用户
57808521,34,15,2.2667,少量多次型用户
23049176,54,24,2.2500,少量多次型用户
107824319,9,4,2.2500,少量多次型用户
122383497,9,4,2.2500,少量多次型用户
84916776,56,25,2.2400,少量多次型用户
136482450,56,25,2.2400,少量多次型用户
118911721,22,10,2.2000,少量多次型用户
60674956,149,68,2.1912,少量多次型用户
