date,active_users_in_day
2014-11-18,6343
2014-11-19,6420
2014-11-20,6333
2014-11-21,6276
2014-11-22,6187
2014-11-23,6373
2014-11-24,6513
2014-11-25,6351
2014-11-26,6357
2014-11-27,6359
2014-11-28,6189
2014-11-29,6224
2014-11-30,6379
2014-12-01,6544
2014-12-02,6550
2014-12-03,6585
2014-12-04,6531
2014-12-05,6367
2014-12-06,6440
2014-12-07,6422
2014-12-08,6564
2014-12-09,6566
2014-12-10,6652
2014-12-11,6894
2014-12-12,7720
2014-12-13,6776
2014-12-14,6668
2014-12-15,6787
2014-12-16,6729
2014-12-17,6643
2014-12-18,6582
