week_start_date,week_end_date,user_id,overall_activity,user_rank
2014-11-17,2014-11-23,36233277,6423,1
2014-11-17,2014-11-23,73196588,6205,2
2014-11-17,2014-11-23,137175187,5074,3
2014-11-17,2014-11-23,59511789,4700,4
2014-11-17,2014-11-23,77339861,4079,5
2014-11-17,2014-11-23,130270245,3713,6
2014-11-17,2014-11-23,113283932,3294,7
2014-11-17,2014-11-23,36525698,3145,8
2014-11-17,2014-11-23,70240139,3032,9
2014-11-17,2014-11-23,83813302,2971,10
2014-11-17,2014-11-23,82905542,2853,11
2014-11-17,2014-11-23,15541192,2842,12
2014-11-17,2014-11-23,77374787,2803,13
2014-11-17,2014-11-23,52772551,2791,14
2014-11-17,2014-11-23,16676403,2769,15
2014-11-17,2014-11-23,5315279,2749,16
2014-11-17,2014-11-23,53080199,2691,17
2014-11-17,2014-11-23,8886191,2683,18
2014-11-17,2014-11-23,127619887,2653,19
2014-11-17,2014-11-23,123842164,2648,20
2014-11-17,2014-11-23,7234861,2637,21
2014-11-17,2014-11-23,29791483,2630,22
2014-11-17,2014-11-23,74952849,2528,23
2014-11-17,2014-11-23,97389266,2500,24
2014-11-17,2014-11-23,65645933,2481,25
2014-11-17,2014-11-23,97464808,2471,26
2014-11-17,2014-11-23,52577851,2382,27
2014-11-17,2014-11-23,65961855,2368,28
2014-11-17,2014-11-23,121306092,2339,29
2014-11-17,2014-11-23,110976685,2265,30
2014-11-17,2014-11-23,5694160,2257,31
2014-11-17,2014-11-23,139435539,2218,32
2014-11-17,2014-11-23,59567091,2195,33
2014-11-17,2014-11-23,122338823,2160,34
2014-11-17,2014-11-23,23165095,2136,35
2014-11-17,2014-11-23,110509780,2116,36
2014-11-17,2014-11-23,90331505,2109,37
2014-11-17,2014-11-23,21978171,2107,38
2014-11-17,2014-11-23,38839327,2049,39
2014-11-17,2014-11-23,116049086,2031,40
2014-11-17,2014-11-23,51435164,2010,41
2014-11-17,2014-11-23,48836510,1975,42
2014-11-17,2014-11-23,70876649,1971,43
2014-11-17,2014-11-23,79587494,1968,44
2014-11-17,2014-11-23,37671999,1967,45
