most_visited_category,user_id,category_behavior_count,total_behavior_count
8,34104714,280,1121
8,54073830,16,90
11,27845176,103,1350
11,79807237,415,1294
11,109529376,343,979
11,11580122,118,732
11,105454547,75,621
11,127579158,97,543
11,104479798,107,539
11,106083110,126,526
11,1593616,67,459
11,68158918,55,391
11,89953582,33,261
11,61974693,40,237
11,105870926,23,201
15,101791582,121,825
24,50062533,44,430
43,117970006,167,1592
56,69678635,108,829
56,41564229,63,739
56,138008976,51,359
56,125409680,15,15
56,108611069,8,10
93,91010344,56,628
94,130894601,305,1088
94,70370583,93,540
94,71054049,33,310
94,109016093,41,150
94,116251035,6,29
94,114088,6,25
107,76887456,204,2109
107,97425189,74,1492
107,50312283,61,718
108,90474934,55,326
150,44479518,111,1912
150,31408686,120,420
150,12135006,26,140
150,132984948,25,98
150,60014035,56,83
150,65949779,8,45
155,137974537,159,1792
155,141464286,87,316
169,135154572,107,219
176,140397235,56,375
198,82572658,618,3076
198,6435793,293,2550
198,991563,157,2421
198,24057036,174,812
198,63351357,44,628
198,2934039,107,527
198,133314380,70,114
198,28031374,49,87
198,104394218,11,72
198,2510646,10,40
198,92147065,23,27
198,72166476,24,26
200,86458054,2,3
215,106634442,674,5437
215,42930798,199,2556
215,137996255,67,1116
215,17821367,78,940
215,68381564,44,579
215,32992894,61,290
215,20302058,30,224
215,136677781,39,198
215,66058598,19,107
215,3447448,16,70
215,45434795,14,55
220,124080537,119,674
231,82926163,307,1966
231,138590516,155,1828
231,114052885,69,684
231,131997583,84,521
231,47825067,46,298
231,33909374,23,132
232,28734621,321,2331
232,115368454,78,691
232,128578278,57,648
232,23688052,34,113
240,118741945,11,58
242,131930045,226,4895
242,48292690,101,1156
242,100231383,46,467
242,139780128,51,316
242,130540609,15,89
242,20719129,2,14
254,102712222,131,1205
254,94883880,115,1043
279,59660896,296,2481
279,67648477,27,76
280,139061840,32,401
280,12462869,42,213
280,86670881,25,149
280,124912719,9,22
280,59283998,7,8
281,25386039,42,431
284,26509398,158,1666
284,9194303,318,1561
284,801018,100,1186
288,26529364,219,786
288,1081595,105,300
292,87413989,222,3940
292,2319819,288,3303
292,122266056,120,1897
292,114515435,96,1686
292,7207480,175,1432
292,20653615,71,1428
292,62994612,80,869
292,124836406,141,845
292,67043644,113,636
292,42982005,52,607
292,40026875,87,588
292,134977820,24,81
297,130346118,110,1056
297,66190657,74,824
297,104342607,243,624
297,134020041,32,126
316,74418729,191,1556
318,44220176,35,221
337,82302996,209,2622
340,109657854,26,133
362,103174200,22,84
363,83570876,355,4909
363,44389792,228,2077
363,140869856,68,743
363,105770829,57,461
382,39222343,238,1613
384,53308425,31,384
410,20516700,67,902
427,100111500,41,120
432,47675537,126,1417
436,85008352,192,2070
436,2079867,212,1795
436,140606196,183,1509
436,13096088,193,930
437,19708378,619,6497
437,135187545,232,2510
437,36166284,119,1733
437,83661052,58,156
437,60532141,58,135
438,56124730,33,441
438,81647004,33,77
438,37693647,13,30
444,45433328,411,3497
444,65820387,655,3115
444,138749285,133,1884
444,139471492,116,1701
444,55575058,149,1364
444,11053843,145,1345
444,61162561,95,675
444,107936760,77,443
444,125459343,37,250
446,109493411,148,1867
446,93791092,88,1390
446,114002389,94,951
446,93670699,24,293
446,106021995,47,248
447,113920718,9,28
451,81037956,93,2222
451,133002039,50,655
451,44431225,28,163
460,29246035,61,1255
483,100310156,40,289
483,47592059,15,248
484,9457887,83,1147
484,31052402,89,887
484,76398803,33,425
492,22125304,271,2843
492,1399592,87,458
492,84601374,53,241
492,130313708,21,156
492,49572212,6,22
508,3840121,185,3316
508,126205303,165,3001
508,54133893,188,2235
508,37402030,197,1906
508,61506078,224,1714
508,76271403,138,1658
508,22555846,243,1646
508,124875172,156,1190
508,102629009,276,1124
508,132747248,120,1102
508,89105765,89,927
508,7591,214,859
508,24381914,85,854
508,133157830,64,813
508,114290242,71,785
508,86107124,110,652
508,133788184,84,645
508,133876177,83,545
508,124728821,44,447
508,45616833,39,402
508,141085465,61,348
508,106029601,41,292
508,13703604,52,274
508,36912686,45,225
508,62733933,37,217
508,59767111,18,169
508,27622186,37,162
512,3864501,24,182
513,11889914,7,13
547,29025946,40,186
547,119168750,26,108
552,139891563,486,4160
552,67514411,414,3738
552,11993970,453,3051
552,53708814,422,2282
552,8217647,432,2231
552,95645602,379,2112
552,73574022,256,2080
552,27808271,125,1904
552,134479240,262,1732
552,118960775,85,1575
552,3712578,92,1550
552,88271974,111,1330
552,11792254,89,1322
552,97169173,415,1127
552,137183654,179,1109
552,111901362,92,1035
552,1257131,120,988
552,114810344,173,950
552,51099335,65,942
552,92812860,80,920
552,114930910,55,812
552,81995769,104,791
552,35829490,94,746
552,96183219,54,731
552,32837469,62,704
552,13818219,80,693
552,88336278,149,678
552,14866979,90,628
552,62808447,162,625
552,83978856,68,610
552,106457937,120,599
552,75350465,118,598
552,131695311,129,586
552,24965668,78,577
552,58814819,82,551
552,51176209,82,529
552,44573524,70,487
552,55721608,55,481
552,69334364,93,481
552,34997471,68,455
552,91109694,85,427
552,91530370,56,395
552,95948031,61,395
552,61779777,53,372
552,51926383,56,363
552,85004126,48,347
552,104456945,109,337
