user_id,is_concentrated,concentrated_category
4913,1,9127
6118,1,12304
54056,1,7033
63348,1,1863
120873,1,3064
134658,1,7440
190327,1,5993
191366,1,2866
217996,1,3673
227293,1,2901
263670,1,3424
397142,1,10507
432337,1,11771
493013,1,10431
497764,1,6344
511319,1,5232
521437,1,7195
567790,1,805
568881,1,10523
678552,1,3673
807106,1,4276
819192,1,12630
819791,1,1863
943095,1,6344
985207,1,11981
1022919,1,9847
1030408,1,939
1034452,1,9526
1041761,1,5689
1050684,1,3064
1081595,1,9205
1105998,1,3975
1272577,1,6812
1334962,1,3472
1344672,1,3662
1399592,1,6717
1439794,1,10431
1485361,1,3760
1498131,1,3846
1532868,1,5027
1535240,1,12328
1553407,1,6000
1588502,1,9130
1619789,1,12170
1666891,1,3368
1724469,1,1863
1760140,1,10961
1806084,1,6977
1820303,1,9598
2045844,1,4830
2077849,1,8179
2083985,1,3472
2092395,1,5558
2099277,1,3673
2103722,1,2993
2112922,1,7033
2139347,1,7995
2183798,1,552
2227874,1,11279
2242451,1,3942
2272401,1,13186
2338844,1,3660
2364863,1,3783
2502524,1,11834
2527320,1,818
2536588,1,3330
2557196,1,13807
2590763,1,13551
2622091,1,7727
2639819,1,3628
2683726,1,13041
2696208,1,10798
2745737,1,11750
2751701,1,6000
2763135,1,552
2845412,1,9550
2870275,1,1860
2883429,1,3798
2887948,1,2993
2896763,1,1392
2934039,1,4195
2989110,1,13041
3066501,1,13415
3089923,1,3424
3141933,1,12982
3190957,1,8191
3192805,1,10431
3240412,1,2431
3324323,1,606
3375066,1,11695
3380259,1,13041
3384843,1,6512
3447448,1,9895
3466367,1,10507
3495324,1,6168
3508821,1,3798
3577313,1,12569
3709994,1,6327
3714513,1,3368
3789630,1,3424
3791755,1,11883
3864501,1,9413
3914310,1,1838
3919761,1,2901
3927253,1,3424
3945782,1,9354
3965819,1,10875
4060646,1,11589
4088842,1,6431
4095217,1,7590
4110672,1,2236
4174826,1,5894
4261260,1,1199
4283186,1,4605
4374427,1,7957
4387844,1,13338
4445837,1,11497
4597166,1,508
4644312,1,4269
4710740,1,13500
4729352,1,9541
4742459,1,10392
4755159,1,6580
4763932,1,7766
4772544,1,8052
4839432,1,3544
4839961,1,5894
4869558,1,2825
4919496,1,7195
4922072,1,2883
4960300,1,2254
5051617,1,4320
5057199,1,1530
5091068,1,10121
5137598,1,5809
5154444,1,10121
5159022,1,7957
5179507,1,3140
5187945,1,8095
5223307,1,11624
5440164,1,6648
5451259,1,2513
5481789,1,3528
5485673,1,3472
5624123,1,1854
5680285,1,5894
5694160,1,6344
5698511,1,6344
5699616,1,10392
5719706,1,4468
5740730,1,9559
5778458,1,5027
5786548,1,4147
5803579,1,3565
5875750,1,4435
5942869,1,3064
6062947,1,10961
6068352,1,3099
6142132,1,9179
6146353,1,242
6163885,1,9205
6177572,1,13500
6235300,1,3424
6236717,1,12569
6243406,1,5689
6317562,1,6255
6392284,1,7143
6435793,1,3798
6478780,1,7957
6516985,1,11824
6596569,1,11311
6685234,1,5399
6812814,1,3424
6847334,1,484
6931133,1,5273
6957110,1,12096
7012275,1,2513
7018172,1,2901
7072231,1,10392
7089989,1,4281
7196391,1,1083
7202772,1,3472
7248646,1,5232
7363107,1,14050
7365270,1,6630
7427667,1,1080
7436994,1,769
7470488,1,6991
7507359,1,12326
7538685,1,6562
7554598,1,5232
7623264,1,10336
7647261,1,2313
7723951,1,5395
7733967,1,2322
7761295,1,12778
7780072,1,8860
7799018,1,1863
7874812,1,2949
7892881,1,7957
7915670,1,1838
7956207,1,6344
7970200,1,7032
8045744,1,5749
8119848,1,7957
8197937,1,1969
8311653,1,9569
8350359,1,4370
8359310,1,9247
8397935,1,7350
8413012,1,10431
8427578,1,4515
8439431,1,3673
8509077,1,3628
8688021,1,12855
8747297,1,3673
8784082,1,3064
8823134,1,5908
8832025,1,552
8856141,1,5399
8973625,1,4387
9032548,1,1159
9056309,1,8099
9065398,1,1498
9138659,1,3424
9144935,1,3628
9150141,1,11311
9215982,1,11623
9238232,1,552
9260930,1,446
9299440,1,12067
9328686,1,7590
9384380,1,437
9413973,1,5232
9457887,1,347
9480832,1,8744
9487538,1,7440
9648147,1,3798
9652974,1,11058
9664816,1,7440
9686681,1,6344
9723930,1,9491
9746937,1,11499
9774692,1,7957
9821001,1,4677
9835014,1,2825
9862954,1,10984
9863416,1,13041
9938666,1,6228
9996155,1,9053
10020755,1,2993
10031393,1,8986
10064430,1,1427
10068052,1,5027
10075065,1,5399
10131505,1,1863
10141023,1,1863
10164041,1,2162
10187137,1,6977
10218711,1,3628
10309048,1,4269
10335403,1,10392
10480818,1,11335
10480848,1,3393
10525504,1,12553
10535263,1,13230
10539406,1,6977
10580879,1,6400
10640408,1,11552
10746742,1,8095
10761548,1,4640
10797721,1,3628
10833396,1,7365
10849427,1,3424
10960939,1,5894
10970833,1,5399
10982501,1,5232
11000891,1,10523
11007737,1,4245
11010595,1,11039
11066851,1,5829
11106706,1,13500
11119577,1,10876
11171971,1,3099
11189891,1,13230
11246070,1,4333
11361547,1,12251
11408482,1,3252
11459905,1,284
11533001,1,3381
11545672,1,11311
11561834,1,5503
11595413,1,9516
11618257,1,5271
11669469,1,6000
11695398,1,1250
11719180,1,1838
11726782,1,6576
11783149,1,5399
11792254,1,438
11889914,1,513
11900716,1,12630
11904220,1,3846
11966763,1,12753
12000472,1,8254
12037455,1,5027
12055347,1,874
12070973,1,6544
12129371,1,1190
12135006,1,3099
12139270,1,7606
12202456,1,3368
12214179,1,13041
12282525,1,7381
12373370,1,5027
12522187,1,11623
12568217,1,8874
12636431,1,7117
12662961,1,5073
12683992,1,10503
12731267,1,13305
12796196,1,2901
12850436,1,2513
12892503,1,8291
12931864,1,3381
12970967,1,5919
12997160,1,5383
12998932,1,1116
13015077,1,2513
13034876,1,4435
13056340,1,1392
13096088,1,8874
13099562,1,11824
13110515,1,6513
13154544,1,12973
13311291,1,6648
13384101,1,3056
13396413,1,11639
13403684,1,7957
13408757,1,5271
13527121,1,8561
13565343,1,10431
13616260,1,5002
13625542,1,9579
13656280,1,3064
13657444,1,6648
13703604,1,508
13745443,1,6344
13817021,1,7606
13817717,1,887
13836813,1,1877
13843429,1,15
13872334,1,1509
13915850,1,10894
13943503,1,3673
14051446,1,12553
14070819,1,2901
14137229,1,7957
14235689,1,6054
14298533,1,4050
14389364,1,3064
14490465,1,10431
14512595,1,6228
14586553,1,1863
14621752,1,6247
14664626,1,3064
14669807,1,8159
14674689,1,7322
14705382,1,410
14712626,1,10983
14788711,1,2459
14946743,1,1303
14947982,1,8877
15053166,1,7229
15064877,1,8874
15187673,1,8874
15237890,1,6417
15244919,1,2949
15289217,1,6795
15300280,1,3368
15484510,1,10703
15503033,1,7401
15516289,1,8877
15627502,1,10431
15706809,1,215
15736320,1,9358
15777503,1,4593
15787529,1,13374
15796497,1,7727
15924838,1,5751
16010946,1,8664
16124295,1,5399
16178402,1,11652
16269352,1,11623
16330947,1,7957
16367992,1,3431
16407305,1,12801
16419618,1,12514
16423734,1,4676
16446142,1,1863
16511689,1,5232
16601288,1,3472
16606794,1,10431
16641115,1,3988
16710779,1,1419
16755897,1,6344
16777748,1,508
16790119,1,5894
16847823,1,7957
16891199,1,1527
16895773,1,11324
16906970,1,5751
16908520,1,5027
16916141,1,5395
16918270,1,7440
17007569,1,3660
17029867,1,8561
17079837,1,2949
17175521,1,7639
17220524,1,3942
17318106,1,5334
17328648,1,3760
17374737,1,11241
17377868,1,7957
17384431,1,3760
17465649,1,13332
17655263,1,10392
17684274,1,8744
17719840,1,11623
17785864,1,5204
17785981,1,6648
17817432,1,231
17825390,1,12760
17883538,1,3064
17883830,1,13500
17886992,1,3064
17962946,1,10569
18004160,1,7404
18009500,1,5908
18017690,1,3924
18216712,1,3424
18218608,1,5232
18245913,1,8099
18375692,1,10331
18396338,1,13041
18519220,1,7516
18558609,1,10753
18728199,1,12370
18910742,1,1838
18913329,1,7619
18950879,1,3942
18997016,1,6977
19037604,1,508
19047603,1,3628
19208481,1,6455
19321866,1,9614
19335772,1,5894
19338929,1,2284
19340590,1,10523
19368976,1,6513
19463984,1,4625
19478600,1,3760
19704074,1,2254
19831033,1,7322
19853816,1,6228
19865503,1,4329
19902731,1,7772
20080716,1,6228
20093296,1,5913
20123340,1,5751
20257132,1,3099
20293501,1,2883
20302058,1,3673
20307844,1,12067
20320170,1,8877
20329246,1,939
20347929,1,3625
20390004,1,3424
20463565,1,2040
20516700,1,3424
20694838,1,6724
20733935,1,5388
20747863,1,3067
20774386,1,436
20849275,1,7957
20912759,1,11691
20997825,1,3368
21035609,1,5399
21038500,1,10392
21070014,1,9790
21140632,1,3378
21161768,1,11945
21185597,1,7440
21202467,1,6344
21217939,1,2949
21226209,1,3960
21287960,1,3628
21329952,1,1800
21346761,1,6878
21363716,1,10392
21365758,1,3798
21405321,1,5264
21505975,1,5232
21536694,1,2901
21552855,1,5095
21625075,1,4370
21633234,1,10703
21696214,1,3472
21754104,1,11914
21775179,1,13859
21818576,1,8095
21824858,1,3064
21868086,1,3988
21875488,1,10894
21883663,1,8681
21904099,1,10431
21973088,1,9720
21984163,1,11824
21993808,1,8874
22060610,1,4348
22082857,1,7957
22094658,1,3424
22107261,1,5727
22123389,1,8877
22178598,1,10894
22188362,1,3942
22281803,1,5869
22305188,1,6045
22310799,1,4883
22378126,1,1824
22424853,1,4636
22441068,1,13041
22525341,1,5232
22607012,1,5623
22627844,1,9559
22791027,1,10072
22802989,1,1838
22859350,1,2993
22869075,1,3381
22962826,1,13500
22981352,1,889
22992522,1,7957
22995367,1,6098
23049176,1,5027
23065322,1,10223
23118960,1,10431
23167916,1,5403
23228065,1,2252
23236747,1,3368
23296153,1,4370
23359188,1,3475
23362360,1,5689
23367131,1,3064
23384426,1,9789
23419403,1,3760
23442968,1,508
23446150,1,3662
23482875,1,1863
23574912,1,11443
23668132,1,8094
23740258,1,7691
23757860,1,4245
23793674,1,9807
23803693,1,5399
23838725,1,3252
23860674,1,6344
23937847,1,1083
24047653,1,10392
24189643,1,9102
24466657,1,4333
24471517,1,5920
24474599,1,1863
24540552,1,4640
24610294,1,1863
24620052,1,10392
24698599,1,3660
24700160,1,2513
24759174,1,11824
24805953,1,12189
24811681,1,1512
24814877,1,10564
24869620,1,1334
24888768,1,446
24903079,1,6648
24967803,1,10079
25166877,1,3628
25166903,1,6344
25173367,1,438
25187340,1,3783
25224971,1,10121
25249494,1,3064
25275595,1,9412
25368165,1,2901
25375727,1,9179
25386039,1,11680
25456026,1,6344
25475467,1,11552
25480257,1,10012
25499177,1,1346
25518563,1,5395
25678919,1,7195
25701566,1,6513
25761045,1,10930
25765258,1,2413
25778057,1,5751
25800692,1,2901
25841169,1,6344
25945368,1,5027
25963511,1,10523
25994909,1,10716
26025143,1,11406
26043740,1,6648
26063061,1,13041
26071320,1,7767
26145391,1,10431
26221045,1,3673
26228110,1,6608
26333439,1,3928
26391467,1,6512
26438512,1,7404
26459606,1,552
26529364,1,3064
26742658,1,3064
26752434,1,3628
26801916,1,11636
26869643,1,5689
26917106,1,13041
27049458,1,6344
27068656,1,12406
27129711,1,12090
27298182,1,3960
27380911,1,107
27428904,1,8709
27502638,1,6697
27565397,1,3381
27579582,1,11689
27596072,1,11840
27608145,1,3472
27803245,1,13332
27809186,1,10894
27811537,1,14033
27927595,1,3942
27964788,1,3472
27973180,1,1674
28031374,1,3628
28036057,1,8877
28104706,1,887
28160359,1,3660
28192835,1,9261
28204652,1,11754
28252122,1,2513
28257786,1,6045
28351817,1,12630
28370474,1,7951
28533948,1,3673
28564144,1,6513
28587433,1,5503
28623961,1,6344
28639853,1,4329
28694278,1,3424
28743854,1,3660
28808272,1,8860
28867140,1,7876
28911161,1,13041
28962754,1,12948
29020561,1,13500
29072139,1,10431
29217415,1,6977
29226661,1,11376
29285910,1,10121
29301311,1,3368
29332454,1,3662
29429701,1,12863
29489427,1,5399
29524082,1,5399
29550258,1,5468
29583836,1,7995
29628336,1,6986
29641259,1,1863
29699014,1,8043
29855200,1,2901
29881921,1,85
29985681,1,8650
30025213,1,3673
30072819,1,13092
30079563,1,5550
30080377,1,11824
30100119,1,2537
30170700,1,7590
30198310,1,2252
30397332,1,1083
30419421,1,1969
30511142,1,10523
30511762,1,9179
30550099,1,10072
30592468,1,2903
30638228,1,3960
30647114,1,881
30683859,1,2284
30701625,1,1121
30701881,1,4264
30717687,1,3628
30805076,1,3381
30817416,1,11270
30833242,1,10456
30835000,1,2883
30853624,1,6648
30869439,1,10466
30915717,1,3942
31050275,1,1723
31110873,1,13041
31185970,1,3628
31192881,1,7365
31210346,1,6344
31298818,1,6255
31309091,1,13041
31331524,1,3156
31408686,1,150
31413542,1,10431
31433604,1,5399
31464363,1,1863
31495737,1,1477
31538214,1,10250
31557701,1,4269
31559991,1,12090
31612475,1,4195
31700289,1,7709
31723437,1,12230
31779961,1,13404
31872335,1,6344
31943268,1,1121
31986029,1,2901
31994149,1,3472
32099605,1,11756
32191955,1,10431
32291040,1,12249
32303536,1,5002
32334610,1,7957
32353000,1,11406
32473312,1,5027
32474658,1,4584
32621604,1,769
32728520,1,7957
32755257,1,10275
32851381,1,3378
32874098,1,4097
32881965,1,3283
32903403,1,3064
32919395,1,10894
32922636,1,9412
32992894,1,1863
33005419,1,3783
33054630,1,9516
33077425,1,13599
33166824,1,3099
33356728,1,2178
33371922,1,3339
33388747,1,10431
33513319,1,13500
33544881,1,8771
33549970,1,12514
33563000,1,2831
33622339,1,4076
33674599,1,8854
33682194,1,2048
33729290,1,9790
33739957,1,11376
33802383,1,11537
33829137,1,8792
33859718,1,13152
33940605,1,7033
33956087,1,6513
34187941,1,5468
34195604,1,2730
34313030,1,11537
34346607,1,10523
34399720,1,6344
34413445,1,3064
34426955,1,8595
34565215,1,6977
34576265,1,10431
34598350,1,5027
34604818,1,3628
34648649,1,3625
34693663,1,1797
34702432,1,13041
34731828,1,2490
34798610,1,12067
34806909,1,3673
34891822,1,4370
34933963,1,363
34994624,1,8662
34997471,1,552
35048740,1,2901
35050906,1,5264
35096341,1,10984
35126807,1,3424
35272739,1,10873
35277878,1,7791
35342036,1,446
35354529,1,5232
35427753,1,5399
35465890,1,10703
35527078,1,3846
35603682,1,13041
35604872,1,10703
35636139,1,1954
35639435,1,10523
35644209,1,13500
35758348,1,12658
35773124,1,11279
35898338,1,7995
35967319,1,9614
36005648,1,4676
36164872,1,8099
36246846,1,8877
36247777,1,8333
36308952,1,9598
36320937,1,12090
36404374,1,1083
36430492,1,1610
36457777,1,10412
36582945,1,6344
36648599,1,4254
36713639,1,2883
36751669,1,10364
36757197,1,13305
36760677,1,13288
36808723,1,3368
36885666,1,2825
36904941,1,3424
36912686,1,1863
37004434,1,12294
37017723,1,1877
37019520,1,11376
37073011,1,10703
37184570,1,3673
37209969,1,7582
37218187,1,8095
37338448,1,10894
37474821,1,7995
37485293,1,6226
37557912,1,9444
37563035,1,8291
37600724,1,6344
37638767,1,10121
37652869,1,5503
37690066,1,2252
37709773,1,4435
37711820,1,1083
37737164,1,12096
37779911,1,13547
37817890,1,9618
37820897,1,4329
37923588,1,3321
37951207,1,2029
38016396,1,8099
38019351,1,5919
38103038,1,4333
38173093,1,5867
38223900,1,2284
38227021,1,12514
38294231,1,13365
38306238,1,9205
38357931,1,6321
38481691,1,1863
38487066,1,1863
38538148,1,11376
38546869,1,3472
38556307,1,10392
38699008,1,138
38767724,1,94
38855741,1,5232
38869693,1,1723
38915660,1,12189
39017588,1,12230
39079609,1,11537
39095072,1,1509
39096760,1,3424
39141608,1,10507
39248540,1,4370
39283381,1,8166
39368828,1,3424
39413973,1,13338
39421120,1,5894
39430343,1,6331
39431130,1,3064
39441936,1,5746
39531225,1,7917
39630527,1,12598
39631533,1,10894
39690010,1,7057
39780652,1,1190
39789593,1,5027
39825915,1,6344
39883816,1,12067
39912392,1,2010
39932070,1,3222
39933731,1,12170
39980640,1,2251
40026875,1,292
40070893,1,3368
40081301,1,2185
40109600,1,4817
40117023,1,451
40259154,1,11894
40304574,1,3628
40310645,1,12173
40358819,1,4676
40555711,1,11279
40607709,1,6488
40694580,1,5503
40729803,1,7312
40786964,1,14038
40788357,1,10753
40822060,1,2883
40873042,1,10392
40884180,1,13727
40893979,1,2443
40974590,1,9518
41021470,1,3682
41138904,1,5647
41182866,1,874
41200428,1,10920
41320562,1,6344
41442365,1,11733
41564229,1,3368
41566029,1,8877
41599542,1,4778
41671149,1,3475
41745316,1,12189
41831177,1,6689
41868482,1,12189
41872955,1,12345
41938273,1,6054
41986120,1,4405
41993155,1,5027
42049679,1,1121
42085231,1,8099
42281108,1,2284
42340446,1,9614
42407685,1,7182
42479497,1,9444
42503802,1,5399
42601828,1,43
42676532,1,10392
42723928,1,5689
42768689,1,10431
42819104,1,10961
42851945,1,6792
42864059,1,2883
42924297,1,13230
42930798,1,215
42982005,1,2513
