user_id,total_behavior_count,browse_count,favorite_count,cart_count,purchase_count,browse_to_favorite_rate,favorite_to_cart_rate,cart_to_purchase_rate,browse_to_purchase_rate
36233277,31030,27720,2935,328,47,0.1059,0.1118,0.1433,0.0017
65645933,20770,18124,2600,27,19,0.1435,0.0104,0.7037,0.0010
73196588,20146,20146,0,0,0,0.0000,NULL,NULL,0.0000
59511789,20129,18558,1274,263,34,0.0686,0.2064,0.1293,0.0018
130270245,19786,18857,726,185,18,0.0385,0.2548,0.0973,0.0010
7234861,17574,15791,1165,569,49,0.0738,0.4884,0.0861,0.0031
83813302,17248,16874,277,81,16,0.0164,0.2924,0.1975,0.0009
52577851,13419,12555,10,792,62,0.0008,79.2000,0.0783,0.0049
137175187,12908,12339,254,284,31,0.0206,1.1181,0.1092,0.0025
123842164,12705,11342,168,546,649,0.0148,3.2500,1.1886,0.0572
52772551,12488,12238,188,42,20,0.0154,0.2234,0.4762,0.0016
74314315,12479,12159,151,108,61,0.0124,0.7152,0.5648,0.0050
139435539,12413,11615,235,456,107,0.0202,1.9404,0.2346,0.0092
5315279,12387,10375,168,1810,34,0.0162,10.7738,0.0188,0.0033
45649071,12347,11239,101,977,30,0.0090,9.6733,0.0307,0.0027
116049086,12214,11731,133,317,33,0.0113,2.3835,0.1041,0.0028
53080199,12037,11618,169,202,48,0.0145,1.1953,0.2376,0.0041
38839327,12015,11388,66,516,45,0.0058,7.8182,0.0872,0.0040
131573117,11351,10851,252,213,35,0.0232,0.8452,0.1643,0.0032
21978171,10928,10484,201,151,92,0.0192,0.7512,0.6093,0.0088
70240139,10826,10667,11,132,16,0.0010,12.0000,0.1212,0.0015
59567091,10808,10399,13,343,53,0.0013,26.3846,0.1545,0.0051
77374787,10779,9714,924,58,83,0.0951,0.0628,1.4310,0.0085
37671999,10657,10469,142,30,16,0.0136,0.2113,0.5333,0.0015
122338823,10529,8810,6,904,809,0.0007,150.6667,0.8949,0.0918
82905542,10436,9816,103,440,77,0.0105,4.2718,0.1750,0.0078
11361547,9986,9823,119,33,11,0.0121,0.2773,0.3333,0.0011
77339861,9902,8672,47,1091,92,0.0054,23.2128,0.0843,0.0106
71238931,9816,8861,954,0,1,0.1077,0.0000,NULL,0.0001
3694961,9722,9405,5,197,115,0.0005,39.4000,0.5838,0.0122
34424883,9635,9130,21,397,87,0.0023,18.9048,0.2191,0.0095
135402088,9606,9343,4,234,25,0.0004,58.5000,0.1068,0.0027
51492142,9403,8156,208,598,441,0.0255,2.8750,0.7375,0.0541
56462249,9378,8860,2,470,46,0.0002,235.0000,0.0979,0.0052
29791483,9353,9161,134,48,10,0.0146,0.3582,0.2083,0.0011
117026591,9333,9184,0,113,36,0.0000,NULL,0.3186,0.0039
131283302,9313,9129,114,40,30,0.0125,0.3509,0.7500,0.0033
113283932,9146,9146,0,0,0,0.0000,NULL,NULL,0.0000
142120051,9109,8918,36,103,52,0.0040,2.8611,0.5049,0.0058
30933630,9094,8778,274,30,12,0.0312,0.1095,0.4000,0.0014
133240213,9051,8813,2,226,10,0.0002,113.0000,0.0442,0.0011
20786149,9037,8865,48,86,38,0.0054,1.7917,0.4419,0.0043
6345483,8983,8829,127,22,5,0.0144,0.1732,0.2273,0.0006
37357777,8902,8865,10,12,15,0.0011,1.2000,1.2500,0.0017
23165095,8856,8336,482,15,23,0.0578,0.0311,1.5333,0.0028
15541192,8840,8110,45,600,85,0.0055,13.3333,0.1417,0.0105
71929773,8807,8676,1,69,61,0.0001,69.0000,0.8841,0.0070
16911051,8614,8588,26,0,0,0.0030,0.0000,NULL,0.0000
97073377,8594,7249,1321,24,0,0.1822,0.0182,0.0000,0.0000
78477282,8592,8365,131,70,26,0.0157,0.5344,0.3714,0.0031
108212684,8534,8194,246,65,29,0.0300,0.2642,0.4462,0.0035
3318666,8470,7576,756,98,40,0.0998,0.1296,0.4082,0.0053
74952849,8368,7836,509,15,8,0.0650,0.0295,0.5333,0.0010
48793683,8365,7970,150,200,45,0.0188,1.3333,0.2250,0.0056
85822276,8300,8043,9,201,47,0.0011,22.3333,0.2338,0.0058
141600808,8276,7624,0,583,69,0.0000,NULL,0.1184,0.0091
57105532,8221,7650,259,268,44,0.0339,1.0347,0.1642,0.0058
118330286,8203,7980,105,98,20,0.0132,0.9333,0.2041,0.0025
110883373,8149,7531,190,362,66,0.0252,1.9053,0.1823,0.0088
82960193,8127,8022,51,45,9,0.0064,0.8824,0.2000,0.0011
124291848,8115,7578,278,203,56,0.0367,0.7302,0.2759,0.0074
125411948,8052,7238,321,454,39,0.0443,1.4143,0.0859,0.0054
91496013,8023,7899,111,2,11,0.0141,0.0180,5.5000,0.0014
53027024,7982,7860,6,96,20,0.0008,16.0000,0.2083,0.0025
84465849,7979,7442,236,282,19,0.0317,1.1949,0.0674,0.0026
70913065,7928,7585,256,58,29,0.0338,0.2266,0.5000,0.0038
67028419,7917,7413,265,214,25,0.0357,0.8075,0.1168,0.0034
102930156,7906,7737,6,136,27,0.0008,22.6667,0.1985,0.0035
86723232,7789,7104,476,176,33,0.0670,0.3697,0.1875,0.0046
100929958,7754,7335,270,121,28,0.0368,0.4481,0.2314,0.0038
16676403,7731,7148,167,371,45,0.0234,2.2216,0.1213,0.0063
82320644,7677,7591,60,5,21,0.0079,0.0833,4.2000,0.0028
21743048,7665,6626,516,410,113,0.0779,0.7946,0.2756,0.0171
97464808,7647,7081,405,147,14,0.0572,0.3630,0.0952,0.0020
60032762,7619,7446,95,44,34,0.0128,0.4632,0.7727,0.0046
75251738,7508,7079,0,409,20,0.0000,NULL,0.0489,0.0028
