event_date,total_behavior_count,browse_count,favorite_count,cart_count,purchase_count,browse_to_favorite_rate,favorite_to_cart_rate,cart_to_purchase_rate,browse_to_purchase_rate
2014-11-18,366701,345855,6904,10212,3730,0.0200,1.4791,0.3653,0.0108
2014-11-19,358823,337870,7152,10115,3686,0.0212,1.4143,0.3644,0.0109
2014-11-20,353429,332792,7167,10008,3462,0.0215,1.3964,0.3459,0.0104
2014-11-21,333104,314572,6832,8679,3021,0.0217,1.2703,0.3481,0.0096
2014-11-22,361355,340563,7252,9970,3570,0.0213,1.3748,0.3581,0.0105
2014-11-23,382702,361221,7702,10432,3347,0.0213,1.3545,0.3208,0.0093
2014-11-24,378342,357192,7333,10391,3426,0.0205,1.4170,0.3297,0.0096
2014-11-25,370239,349392,7492,9891,3464,0.0214,1.3202,0.3502,0.0099
2014-11-26,360896,340621,7324,9378,3573,0.0215,1.2804,0.3810,0.0105
2014-11-27,371384,350040,7699,9975,3670,0.0220,1.2956,0.3679,0.0105
2014-11-28,340638,321813,6484,9123,3218,0.0201,1.4070,0.3527,0.0100
2014-11-29,364697,344127,7214,10145,3211,0.0210,1.4063,0.3165,0.0093
2014-11-30,401620,379439,7786,10779,3616,0.0205,1.3844,0.3355,0.0095
2014-12-01,394611,372095,7319,11288,3909,0.0197,1.5423,0.3463,0.0105
2014-12-02,405216,382052,8022,11521,3621,0.0210,1.4362,0.3143,0.0095
2014-12-03,411606,387497,8492,11732,3885,0.0219,1.3815,0.3311,0.0100
2014-12-04,399952,376307,8559,11395,3691,0.0227,1.3313,0.3239,0.0098
2014-12-05,361878,340976,7474,10109,3319,0.0219,1.3526,0.3283,0.0097
2014-12-06,389610,367126,8323,10889,3272,0.0227,1.3083,0.3005,0.0089
2014-12-07,399751,376596,8632,11267,3256,0.0229,1.3053,0.2890,0.0086
2014-12-08,386667,364097,8236,10915,3419,0.0226,1.3253,0.3132,0.0094
2014-12-09,398025,374261,8552,11763,3449,0.0229,1.3755,0.2932,0.0092
2014-12-10,421910,397661,8753,12280,3216,0.0220,1.4029,0.2619,0.0081
2014-12-11,488508,460329,9310,15643,3226,0.0202,1.6802,0.2062,0.0070
2014-12-12,691712,641507,10446,24508,15251,0.0163,2.3462,0.6223,0.0238
2014-12-13,407160,385337,7859,10486,3478,0.0204,1.3343,0.3317,0.0090
2014-12-14,402541,380717,8128,10213,3483,0.0213,1.2565,0.3410,0.0091
2014-12-15,398356,376624,7758,10210,3764,0.0206,1.3161,0.3687,0.0100
2014-12-16,395085,373399,7749,10166,3771,0.0208,1.3119,0.3709,0.0101
2014-12-17,384791,363757,7163,10256,3615,0.0197,1.4318,0.3525,0.0099
2014-12-18,375597,354746,7440,9825,3586,0.0210,1.3206,0.3650,0.0101
