user_id,days_since_last_purchase,purchase_day_frequency,purchase_count,R_score,F_score,M_score,R_level,F_level,M_level,rfm_type,purchase_days,avg_days_per_purchase_day,last_purchase_time,survey_end_time,hours_since_last_purchase,total_behavior_count,distinct_purchase_item_count,purchase_rate,total_purchase_count
4913,2.0,0.1613,6,4.0,3.0,2.0,高,高,低,重要潜力用户,5,6.2,2014-12-16 12:00:00,2014-12-18 23:00:00,59.0,,,,
6118,1.0,0.0323,1,5.0,1.0,1.0,高,低,低,一般价值用户,1,31.0,2014-12-17 21:00:00,2014-12-18 23:00:00,26.0,,,,
7528,5.0,0.1935,6,3.0,3.0,2.0,低,高,低,一般保持用户,6,5.17,2014-12-13 19:00:00,2014-12-18 23:00:00,124.0,,,,
7591,5.0,0.2903,21,3.0,5.0,5.0,低,高,高,重要保持用户,9,3.44,2014-12-13 09:00:00,2014-12-18 23:00:00,134.0,,,,
12645,4.0,0.129,8,3.0,2.0,3.0,低,低,高,一般发展用户,4,7.75,2014-12-14 19:00:00,2014-12-18 23:00:00,100.0,,,,
54056,11.0,0.0645,2,1.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-07 20:00:00,2014-12-18 23:00:00,267.0,,,,
63348,7.0,0.0323,1,2.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-11 19:00:00,2014-12-18 23:00:00,172.0,,,,
79824,2.0,0.2258,13,4.0,4.0,4.0,高,高,高,重要价值用户,7,4.43,2014-12-16 13:00:00,2014-12-18 23:00:00,58.0,,,,
88930,1.0,0.3226,23,5.0,5.0,5.0,高,高,高,重要价值用户,10,3.1,2014-12-17 22:00:00,2014-12-18 23:00:00,25.0,,,,
100539,2.0,0.3871,18,4.0,5.0,4.0,高,高,高,重要价值用户,12,2.58,2014-12-16 00:00:00,2014-12-18 23:00:00,71.0,,,,
104155,2.0,0.0968,4,4.0,2.0,2.0,高,低,低,一般价值用户,3,10.33,2014-12-16 10:00:00,2014-12-18 23:00:00,61.0,,,,
109103,6.0,0.3548,17,2.0,5.0,4.0,低,高,高,重要保持用户,11,2.82,2014-12-12 14:00:00,2014-12-18 23:00:00,153.0,,,,
113251,24.0,0.129,5,1.0,2.0,2.0,低,低,低,低价值用户,4,7.75,2014-11-24 02:00:00,2014-12-18 23:00:00,597.0,,,,
113960,2.0,0.3871,36,4.0,5.0,5.0,高,高,高,重要价值用户,12,2.58,2014-12-16 13:00:00,2014-12-18 23:00:00,58.0,2009.0,27.0,0.0179,36.0
120873,0.0,0.0968,3,5.0,2.0,1.0,高,低,低,一般价值用户,3,10.33,2014-12-18 17:00:00,2014-12-18 23:00:00,6.0,,,,
