user_id,total_behavior_count,purchase_count,distinct_purchase_item_count,purchase_rate,purchase_days,avg_days_per_purchase_day,purchase_day_frequency,last_purchase_time,survey_end_time,hours_since_last_purchase,days_since_last_purchase
4913,1742,6,5,0.0034,5,6.20,0.1613,"2014-12-16 12:00:00","2014-12-18 23:00:00",59,2
6118,117,1,1,0.0085,1,31.00,0.0323,"2014-12-17 21:00:00","2014-12-18 23:00:00",26,1
7528,214,6,6,0.0280,6,5.17,0.1935,"2014-12-13 19:00:00","2014-12-18 23:00:00",124,5
7591,859,21,19,0.0244,9,3.44,0.2903,"2014-12-13 09:00:00","2014-12-18 23:00:00",134,5
12645,268,8,8,0.0299,4,7.75,0.1290,"2014-12-14 19:00:00","2014-12-18 23:00:00",100,4
45368,36,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
54056,38,2,2,0.0526,2,15.50,0.0645,"2014-12-07 20:00:00","2014-12-18 23:00:00",267,11
63348,251,1,1,0.0040,1,31.00,0.0323,"2014-12-11 19:00:00","2014-12-18 23:00:00",172,7
79824,663,13,13,0.0196,7,4.43,0.2258,"2014-12-16 13:00:00","2014-12-18 23:00:00",58,2
88930,1604,23,19,0.0143,10,3.10,0.3226,"2014-12-17 22:00:00","2014-12-18 23:00:00",25,1
90472,148,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
100539,1082,18,17,0.0166,12,2.58,0.3871,"2014-12-16 00:00:00","2014-12-18 23:00:00",71,2
104155,396,4,4,0.0101,3,10.33,0.0968,"2014-12-16 10:00:00","2014-12-18 23:00:00",61,2
109103,432,17,17,0.0394,11,2.82,0.3548,"2014-12-12 14:00:00","2014-12-18 23:00:00",153,6
113251,379,5,5,0.0132,4,7.75,0.1290,"2014-11-24 02:00:00","2014-12-18 23:00:00",597,24
113960,2009,36,27,0.0179,12,2.58,0.3871,"2014-12-16 13:00:00","2014-12-18 23:00:00",58,2
114088,25,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
120873,1596,3,3,0.0019,3,10.33,0.0968,"2014-12-18 17:00:00","2014-12-18 23:00:00",6,0
134658,258,2,2,0.0078,2,15.50,0.0645,"2014-12-12 11:00:00","2014-12-18 23:00:00",156,6
151617,1969,29,28,0.0147,14,2.21,0.4516,"2014-12-18 21:00:00","2014-12-18 23:00:00",2,0
156608,564,9,7,0.0160,4,7.75,0.1290,"2014-11-30 19:00:00","2014-12-18 23:00:00",436,18
157097,1502,15,13,0.0100,9,3.44,0.2903,"2014-12-13 10:00:00","2014-12-18 23:00:00",133,5
189833,3720,26,22,0.0070,8,3.88,0.2581,"2014-12-16 14:00:00","2014-12-18 23:00:00",57,2
190327,696,7,6,0.0101,5,6.20,0.1613,"2014-12-08 16:00:00","2014-12-18 23:00:00",247,10
191366,1190,2,2,0.0017,2,15.50,0.0645,"2014-12-13 20:00:00","2014-12-18 23:00:00",123,5
213655,2762,15,15,0.0054,10,3.10,0.3226,"2014-12-17 12:00:00","2014-12-18 23:00:00",35,1
217996,72,2,2,0.0278,1,31.00,0.0323,"2014-12-12 11:00:00","2014-12-18 23:00:00",156,6
227293,961,8,5,0.0083,3,10.33,0.0968,"2014-12-18 21:00:00","2014-12-18 23:00:00",2,0
230711,357,13,13,0.0364,7,4.43,0.2258,"2014-12-17 15:00:00","2014-12-18 23:00:00",32,1
239485,262,8,8,0.0305,5,6.20,0.1613,"2014-12-13 10:00:00","2014-12-18 23:00:00",133,5
247543,957,23,21,0.0240,9,3.44,0.2903,"2014-12-17 09:00:00","2014-12-18 23:00:00",38,1
250843,2199,28,26,0.0127,9,3.44,0.2903,"2014-12-13 21:00:00","2014-12-18 23:00:00",122,5
263670,604,1,1,0.0017,1,31.00,0.0323,"2014-12-08 13:00:00","2014-12-18 23:00:00",250,10
287170,61,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
305685,134,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
337191,302,4,4,0.0132,3,10.33,0.0968,"2014-12-12 22:00:00","2014-12-18 23:00:00",145,6
355287,987,4,4,0.0041,3,10.33,0.0968,"2014-12-12 00:00:00","2014-12-18 23:00:00",167,6
365699,605,3,3,0.0050,2,15.50,0.0645,"2014-12-13 22:00:00","2014-12-18 23:00:00",121,5
397142,1063,4,4,0.0038,3,10.33,0.0968,"2014-12-13 11:00:00","2014-12-18 23:00:00",132,5
413178,1024,5,5,0.0049,4,7.75,0.1290,"2014-11-24 10:00:00","2014-12-18 23:00:00",589,24
414388,452,15,15,0.0332,7,4.43,0.2258,"2014-12-18 10:00:00","2014-12-18 23:00:00",13,0
418175,1185,17,17,0.0143,8,3.88,0.2581,"2014-12-15 15:00:00","2014-12-18 23:00:00",80,3
429994,662,9,9,0.0136,7,4.43,0.2258,"2014-12-17 13:00:00","2014-12-18 23:00:00",34,1
432337,897,6,5,0.0067,5,6.20,0.1613,"2014-12-16 18:00:00","2014-12-18 23:00:00",53,2
450683,290,3,3,0.0103,2,15.50,0.0645,"2014-12-12 13:00:00","2014-12-18 23:00:00",154,6
475826,7004,110,77,0.0157,18,1.72,0.5806,"2014-12-17 21:00:00","2014-12-18 23:00:00",26,1
483640,509,14,13,0.0275,5,6.20,0.1613,"2014-12-14 13:00:00","2014-12-18 23:00:00",106,4
493013,206,11,10,0.0534,2,15.50,0.0645,"2014-11-29 01:00:00","2014-12-18 23:00:00",478,19
497764,4014,12,9,0.0030,4,7.75,0.1290,"2014-12-18 20:00:00","2014-12-18 23:00:00",3,0
501286,1046,15,12,0.0143,7,4.43,0.2258,"2014-12-18 21:00:00","2014-12-18 23:00:00",2,0
511319,443,6,6,0.0135,3,10.33,0.0968,"2014-12-18 16:00:00","2014-12-18 23:00:00",7,0
521437,517,24,16,0.0464,4,7.75,0.1290,"2014-12-12 22:00:00","2014-12-18 23:00:00",145,6
565533,1071,15,14,0.0140,9,3.44,0.2903,"2014-12-08 23:00:00","2014-12-18 23:00:00",240,10
567790,51,2,2,0.0392,1,31.00,0.0323,"2014-12-04 20:00:00","2014-12-18 23:00:00",339,14
568881,418,1,1,0.0024,1,31.00,0.0323,"2014-12-14 09:00:00","2014-12-18 23:00:00",110,4
595598,1712,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
608951,1927,5,5,0.0026,4,7.75,0.1290,"2014-12-15 13:00:00","2014-12-18 23:00:00",82,3
611920,1642,12,12,0.0073,7,4.43,0.2258,"2014-12-16 09:00:00","2014-12-18 23:00:00",62,2
632347,2474,55,43,0.0222,12,2.58,0.3871,"2014-12-12 23:00:00","2014-12-18 23:00:00",144,6
678552,14,1,1,0.0714,1,31.00,0.0323,"2014-11-24 20:00:00","2014-12-18 23:00:00",579,24
704891,1186,26,21,0.0219,11,2.82,0.3548,"2014-12-18 22:00:00","2014-12-18 23:00:00",1,0
722361,8,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
742065,380,4,4,0.0105,4,7.75,0.1290,"2014-12-12 08:00:00","2014-12-18 23:00:00",159,6
754205,1060,38,21,0.0358,4,7.75,0.1290,"2014-12-16 12:00:00","2014-12-18 23:00:00",59,2
764564,578,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
783072,47,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
790713,1369,11,11,0.0080,9,3.44,0.2903,"2014-12-12 20:00:00","2014-12-18 23:00:00",147,6
801018,1186,10,9,0.0084,7,4.43,0.2258,"2014-12-16 19:00:00","2014-12-18 23:00:00",52,2
807106,1426,57,18,0.0400,15,2.07,0.4839,"2014-12-18 21:00:00","2014-12-18 23:00:00",2,0
814199,2621,22,20,0.0084,5,6.20,0.1613,"2014-12-13 20:00:00","2014-12-18 23:00:00",123,5
819192,140,1,1,0.0071,1,31.00,0.0323,"2014-11-29 14:00:00","2014-12-18 23:00:00",465,19
819791,27,3,3,0.1111,2,15.50,0.0645,"2014-12-15 16:00:00","2014-12-18 23:00:00",79,3
828731,2313,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
867381,5794,37,33,0.0064,15,2.07,0.4839,"2014-12-18 19:00:00","2014-12-18 23:00:00",4,0
876192,1595,22,22,0.0138,9,3.44,0.2903,"2014-12-15 15:00:00","2014-12-18 23:00:00",80,3
