user_id,purchase_days,purchase_count,avg_days_per_purchase_day,purchase_day_frequency
15244919,1,1,31.00,0.0323
87338001,1,1,31.00,0.0323
136327444,1,1,31.00,0.0323
19208481,1,4,31.00,0.0323
121395815,1,1,31.00,0.0323
29489427,1,2,31.00,0.0323
97763004,1,1,31.00,0.0323
30817416,1,1,31.00,0.0323
5051617,1,1,31.00,0.0323
40555711,1,2,31.00,0.0323
89726077,1,1,31.00,0.0323
40893979,1,1,31.00,0.0323
60534988,1,1,31.00,0.0323
44448258,1,3,31.00,0.0323
55764582,1,3,31.00,0.0323
98303971,1,1,31.00,0.0323
107315106,1,1,31.00,0.0323
37923588,1,1,31.00,0.0323
107201114,1,1,31.00,0.0323
112955522,1,1,31.00,0.0323
73547790,1,2,31.00,0.0323
121736351,1,1,31.00,0.0323
31994149,1,2,31.00,0.0323
17825390,1,4,31.00,0.0323
60643405,1,1,31.00,0.0323
95055358,1,1,31.00,0.0323
14524213,1,4,31.00,0.0323
7018172,1,4,31.00,0.0323
16446142,1,1,31.00,0.0323
17817432,1,1,31.00,0.0323
100042340,1,3,31.00,0.0323
27380911,1,2,31.00,0.0323
5440164,1,2,31.00,0.0323
65068683,1,1,31.00,0.0323
21633234,1,1,31.00,0.0323
142036510,1,1,31.00,0.0323
9664816,1,1,31.00,0.0323
18910742,1,1,31.00,0.0323
75699486,1,1,31.00,0.0323
105825623,1,1,31.00,0.0323
65463789,1,1,31.00,0.0323
6596569,1,1,31.00,0.0323
72753801,1,1,31.00,0.0323
83052065,1,2,31.00,0.0323
37073011,1,1,31.00,0.0323
120455996,1,4,31.00,0.0323
3791755,1,1,31.00,0.0323
51969724,1,1,31.00,0.0323
55193222,1,1,31.00,0.0323
98796708,1,1,31.00,0.0323
72234327,1,1,31.00,0.0323
85061519,1,2,31.00,0.0323
86505281,1,1,31.00,0.0323
131534140,1,6,31.00,0.0323
137384149,1,4,31.00,0.0323
140469244,1,5,31.00,0.0323
88753779,1,1,31.00,0.0323
141609995,1,2,31.00,0.0323
103636959,1,1,31.00,0.0323
30835000,1,1,31.00,0.0323
110313549,1,1,31.00,0.0323
27284201,1,6,31.00,0.0323
121036026,1,1,31.00,0.0323
135007277,1,1,31.00,0.0323
32755257,1,3,31.00,0.0323
26333439,1,1,31.00,0.0323
39825915,1,13,31.00,0.0323
16269352,1,4,31.00,0.0323
73275893,1,4,31.00,0.0323
42851945,1,1,31.00,0.0323
43971939,1,1,31.00,0.0323
114810344,1,2,31.00,0.0323
116849663,1,1,31.00,0.0323
132727149,1,2,31.00,0.0323
136249926,1,1,31.00,0.0323
139068649,1,1,31.00,0.0323
30853624,1,1,31.00,0.0323
36005648,1,2,31.00,0.0323
15796497,1,1,31.00,0.0323
53708814,1,2,31.00,0.0323
52137505,1,2,31.00,0.0323
64784548,1,1,31.00,0.0323
3945782,1,1,31.00,0.0323
4839961,1,1,31.00,0.0323
72656044,1,4,31.00,0.0323
78264855,1,1,31.00,0.0323
98935781,1,1,31.00,0.0323
126551577,1,3,31.00,0.0323
98892553,1,1,31.00,0.0323
112217162,1,1,31.00,0.0323
130946866,1,1,31.00,0.0323
59138148,1,5,31.00,0.0323
30511142,1,1,31.00,0.0323
114653102,1,1,31.00,0.0323
33729290,1,2,31.00,0.0323
33859718,1,1,31.00,0.0323
135687750,1,1,31.00,0.0323
121215883,1,1,31.00,0.0323
140372438,1,1,31.00,0.0323
16891199,1,1,31.00,0.0323
24217106,1,5,31.00,0.0323
56790163,1,3,31.00,0.0323
49622041,1,1,31.00,0.0323
65680419,1,4,31.00,0.0323
48505064,1,1,31.00,0.0323
52757653,1,2,31.00,0.0323
118427343,1,1,31.00,0.0323
67508764,1,1,31.00,0.0323
137107726,1,13,31.00,0.0323
81855599,1,1,31.00,0.0323
93461805,1,1,31.00,0.0323
103036341,1,1,31.00,0.0323
124822888,1,1,31.00,0.0323
31331524,1,1,31.00,0.0323
131565054,1,1,31.00,0.0323
138265467,1,1,31.00,0.0323
96524285,1,1,31.00,0.0323
52523404,1,1,31.00,0.0323
113445602,1,1,31.00,0.0323
85051939,1,5,31.00,0.0323
49007368,1,3,31.00,0.0323
5159022,1,1,31.00,0.0323
63382326,1,1,31.00,0.0323
64056262,1,2,31.00,0.0323
78354424,1,1,31.00,0.0323
72890914,1,1,31.00,0.0323
126004091,1,1,31.00,0.0323
99241118,1,1,31.00,0.0323
89646454,1,1,31.00,0.0323
109421576,1,1,31.00,0.0323
109678791,1,8,31.00,0.0323
113512295,1,2,31.00,0.0323
116187349,1,1,31.00,0.0323
131566572,1,1,31.00,0.0323
133428730,1,1,31.00,0.0323
141324182,1,10,31.00,0.0323
131240843,1,1,31.00,0.0323
47763414,1,4,31.00,0.0323
39096760,1,2,31.00,0.0323
49904939,1,3,31.00,0.0323
50660286,1,1,31.00,0.0323
43991184,1,1,31.00,0.0323
58173672,1,3,31.00,0.0323
104639948,1,1,31.00,0.0323
81607879,1,2,31.00,0.0323
57140122,1,1,31.00,0.0323
61974693,1,2,31.00,0.0323
130082553,1,1,31.00,0.0323
92550603,1,1,31.00,0.0323
98621566,1,1,31.00,0.0323
98264814,1,1,31.00,0.0323
100633536,1,3,31.00,0.0323
10164041,1,1,31.00,0.0323
117063879,1,1,31.00,0.0323
127806965,1,3,31.00,0.0323
135154572,1,1,31.00,0.0323
20302058,1,1,31.00,0.0323
2272401,1,1,31.00,0.0323
139199517,1,2,31.00,0.0323
