user_id,pre_buy_behavior_count,purchase_count,pre_buy_behavior_per_purchase
71238931,9815,1,9815.0000
127089112,4477,1,4477.0000
17785864,3872,1,3872.0000
49646570,3499,1,3499.0000
130540064,6991,2,3495.5000
46274658,3364,1,3364.0000
124210329,3326,1,3326.0000
21868086,6634,2,3317.0000
138867561,5799,2,2899.5000
129558614,2731,1,2731.0000
6435793,2549,1,2549.0000
72753801,2447,1,2447.0000
79134636,7308,3,2436.0000
12055347,4761,2,2380.5000
78704357,4741,2,2370.5000
43051852,7108,3,2369.3333
107323711,4659,2,2329.5000
55050954,2231,1,2231.0000
55192254,4378,2,2189.0000
57391950,2098,1,2098.0000
31110873,1936,1,1936.0000
5778458,1920,1,1920.0000
23296153,1903,1,1903.0000
109597580,1892,1,1892.0000
99775965,3694,2,1847.0000
29699014,3674,2,1837.0000
6345483,8978,5,1795.6000
129809988,5319,3,1773.0000
21824858,3516,2,1758.0000
32874098,1757,1,1757.0000
130457432,1701,1,1701.0000
106863941,5018,3,1672.6667
118525064,3331,2,1665.5000
54586263,1665,1,1665.0000
4110672,3300,2,1650.0000
34553782,6568,4,1642.0000
6177572,1641,1,1641.0000
96042414,1625,1,1625.0000
122383360,1624,1,1624.0000
20997825,3214,2,1607.0000
39421120,1586,1,1586.0000
82945911,1561,1,1561.0000
84281743,1557,1,1557.0000
70656441,1553,1,1553.0000
30817416,1547,1,1547.0000
35342036,1533,1,1533.0000
123395094,1515,1,1515.0000
139793464,3021,2,1510.5000
46428221,6030,4,1507.5000
94209509,1499,1,1499.0000
131240843,1443,1,1443.0000
14051446,1423,1,1423.0000
5159022,1408,1,1408.0000
88009446,2810,2,1405.0000
74752035,7024,5,1404.8000
37209969,1394,1,1394.0000
4839432,1391,1,1391.0000
113990647,2770,2,1385.0000
87385056,1372,1,1372.0000
99721088,2722,2,1361.0000
122807268,1356,1,1356.0000
48700638,1355,1,1355.0000
12282525,1352,1,1352.0000
68710047,1340,1,1340.0000
21754104,1339,1,1339.0000
97838802,2672,2,1336.0000
80775941,6561,5,1312.2000
29583836,1309,1,1309.0000
8354126,5204,4,1301.0000
64699430,3871,3,1290.3333
63281686,1274,1,1274.0000
33166824,1257,1,1257.0000
90710232,2508,2,1254.0000
113285889,1248,1,1248.0000
65143114,4990,4,1247.5000
116114060,3737,3,1245.6667
4742459,1245,1,1245.0000
113056510,1244,1,1244.0000
109568364,2459,2,1229.5000
50323186,1220,1,1220.0000
15796497,1212,1,1212.0000
33682194,2419,2,1209.5000
21070014,2398,2,1199.0000
95088933,3582,3,1194.0000
58992390,2387,2,1193.5000
22188362,2378,2,1189.0000
16916141,1179,1,1179.0000
102281568,5875,5,1175.0000
121777817,3513,3,1171.0000
70260190,1170,1,1170.0000
37923588,1166,1,1166.0000
35758348,4660,4,1165.0000
45433328,3494,3,1164.6667
23442968,3458,3,1152.6667
99272840,2293,2,1146.5000
18009500,1143,1,1143.0000
53708814,2280,2,1140.0000
121970896,1138,1,1138.0000
103606138,1137,1,1137.0000
85164456,3386,3,1128.6667
33674599,1123,1,1123.0000
98796708,1121,1,1121.0000
15237890,1116,1,1116.0000
22424853,1109,1,1109.0000
61739067,1106,1,1106.0000
41138904,1105,1,1105.0000
115457118,1104,1,1104.0000
130270245,19768,18,1098.2222
117221482,1097,1,1097.0000
7248646,1096,1,1096.0000
65645933,20751,19,1092.1579
32562103,3267,3,1089.0000
139808909,1087,1,1087.0000
31331524,1086,1,1086.0000
112549071,2155,2,1077.5000
83813302,17232,16,1077.0000
45253676,1068,1,1068.0000
98440358,4262,4,1065.5000
76887456,2107,2,1053.5000
111492650,1051,1,1051.0000
4839961,1051,1,1051.0000
21625075,2093,2,1046.5000
74952849,8360,8,1045.0000
13110515,1044,1,1044.0000
80481728,5206,5,1041.2000
77310910,2056,2,1028.0000
29524082,2056,2,1028.0000
119531521,1028,1,1028.0000
129822096,1027,1,1027.0000
53051494,1026,1,1026.0000
74049444,4101,4,1025.2500
125823342,3062,3,1020.6667
19340590,1018,1,1018.0000
95301715,3053,3,1017.6667
75070176,3049,3,1016.3333
26720422,7080,7,1011.4286
19282406,6027,6,1004.5000
135687750,1004,1,1004.0000
12571684,2977,3,992.3333
136018515,987,1,987.0000
72256073,1966,2,983.0000
141878326,979,1,979.0000
22627844,978,1,978.0000
16908520,977,1,977.0000
16423734,2902,3,967.3333
28967361,5789,6,964.8333
38387226,2889,3,963.0000
127097520,962,1,962.0000
95520482,1900,2,950.0000
113445602,949,1,949.0000
34702432,945,1,945.0000
92550603,943,1,943.0000
2502524,4694,5,938.8000
134502976,938,1,938.0000
29791483,9343,10,934.3000
62360262,7470,8,933.7500
13034876,933,1,933.0000
128217950,3702,4,925.5000
30853624,925,1,925.0000
121215883,922,1,922.0000
28160359,918,1,918.0000
102434210,918,1,918.0000
125455488,911,1,911.0000
11361547,9975,11,906.8182
3945782,906,1,906.0000
54658786,1809,2,904.5000
133240213,9041,10,904.1000
58902373,2708,3,902.6667
82960193,8118,9,902.0000
8439431,897,1,897.0000
102456563,1788,2,894.0000
62575215,891,1,891.0000
88076016,1773,2,886.5000
34195604,1731,2,865.5000
132326665,2583,3,861.0000
114896102,855,1,855.0000
135842891,854,1,854.0000
130011402,2551,3,850.3333
114598114,848,1,848.0000
85100350,848,1,848.0000
2751701,1690,2,845.0000
131554806,841,1,841.0000
56790163,2512,3,837.3333
9664816,837,1,837.0000
142036510,836,1,836.0000
5051617,833,1,833.0000
46445715,829,1,829.0000
111073682,2484,3,828.0000
136327444,825,1,825.0000
111768420,3296,4,824.0000
52785857,1643,2,821.5000
42851945,816,1,816.0000
108129951,2440,3,813.3333
10761548,812,1,812.0000
59480165,811,1,811.0000
48836510,5673,7,810.4286
42479497,808,1,808.0000
44542843,804,1,804.0000
89380977,1608,2,804.0000
126685028,803,1,803.0000
105767363,1605,2,802.5000
118208713,799,1,799.0000
17029867,794,1,794.0000
30511142,792,1,792.0000
128637327,792,1,792.0000
9868602,2372,3,790.6667
48509295,3155,4,788.7500
110522016,1574,2,787.0000
87338001,782,1,782.0000
4174826,780,1,780.0000
122803562,779,1,779.0000
71146691,1558,2,779.0000
92999201,778,1,778.0000
106295017,778,1,778.0000
137463180,3890,5,778.0000
10480848,1552,2,776.0000
122269318,775,1,775.0000
56296919,1548,2,774.0000
3240412,772,1,772.0000
137385958,1542,2,771.0000
77528436,1540,2,770.0000
131881789,1538,2,769.0000
119191477,3074,4,768.5000
9862954,767,1,767.0000
50197899,1533,2,766.5000
89341994,763,1,763.0000
4261260,1525,2,762.5000
89647768,4571,6,761.8333
77630573,760,1,760.0000
64076866,758,1,758.0000
36561036,5298,7,756.8571
30933630,9082,12,756.8333
10020755,3783,5,756.6000
10309048,1513,2,756.5000
138387712,3774,5,754.8000
39248540,754,1,754.0000
55832398,3765,5,753.0000
100326985,6761,9,751.2222
120088923,1495,2,747.5000
127641845,2981,4,745.2500
23757860,1482,2,741.0000
127909205,1481,2,740.5000
58581609,5913,8,739.1250
23482875,1474,2,737.0000
117419378,1474,2,737.0000
101435898,7365,10,736.5000
41993155,735,1,735.0000
115239516,1464,2,732.0000
59921221,1464,2,732.0000
26333439,731,1,731.0000
91496013,8012,11,728.3636
54554843,1453,2,726.5000
117155106,723,1,723.0000
20080716,1444,2,722.0000
68412184,3608,5,721.6000
111181181,1431,2,715.5000
115003339,715,1,715.0000
122579585,709,1,709.0000
129583911,1413,2,706.5000
100341858,705,1,705.0000
87224584,1408,2,704.0000
76204767,703,1,703.0000
120013837,703,1,703.0000
41017872,4203,6,700.5000
77055357,3483,5,696.6000
84121281,2089,3,696.3333
100530696,1391,2,695.5000
132711863,1388,2,694.0000
128002749,2772,4,693.0000
